===== Starting pico ===== 
[Motor] Init start 
[Motor] Init done 
[Encoder] Init start 
[Encoder] Init done 
[Accelerometer] Init start 
[Accelerometer] Init done 
[Ultrasonic] Init start 
[Ultrasonic] Init done 
[Comms] Init start 
[Comms] Init done 
T: 13.60s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]22.40 [D]0.00 (Err: 0.53) 
T: 13.80s | SP: 30.00 | SPD L: 29.47 | DUTY L: 74 | [P]1.06 [I]33.05 [D]0.00 (Err: 0.53) 
T: 13.80s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]22.51 [D]0.00 (Err: 0.53) 
T: 13.99s | SP: 30.00 | SPD L: 29.47 | DUTY L: 74 | [P]1.06 [I]33.15 [D]0.00 (Err: 0.53) 
T: 13.99s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]22.62 [D]0.00 (Err: 0.53) 
T: 14.19s | SP: 30.00 | SPD L: 30.52 | DUTY L: 72 | [P]-1.04 [I]33.05 [D]-2.10 (Err: -0.52) 
T: 14.19s | SP: 30.00 | SPD R: 29.47 | DUTY R: 70 | [P]1.06 [I]22.72 [D]0.00 (Err: 0.53) 
T: 14.39s | SP: 30.00 | SPD L: 30.52 | DUTY L: 73 | [P]-1.04 [I]32.95 [D]0.00 (Err: -0.52) 
T: 14.39s | SP: 30.00 | SPD R: 29.47 | DUTY R: 70 | [P]1.06 [I]22.83 [D]0.00 (Err: 0.53) 
T: 14.59s | SP: 30.00 | SPD L: 30.52 | DUTY L: 73 | [P]-1.04 [I]32.84 [D]0.00 (Err: -0.52) 
T: 14.59s | SP: 30.00 | SPD R: 30.52 | DUTY R: 68 | [P]-1.04 [I]22.73 [D]-2.10 (Err: -0.52) 
T: 14.79s | SP: 30.00 | SPD L: 29.47 | DUTY L: 74 | [P]1.06 [I]32.95 [D]2.10 (Err: 0.53) 
T: 14.79s | SP: 30.00 | SPD R: 30.52 | DUTY R: 69 | [P]-1.04 [I]22.62 [D]0.00 (Err: -0.52) 
T: 14.99s | SP: 30.00 | SPD L: 29.47 | DUTY L: 74 | [P]1.06 [I]33.05 [D]0.00 (Err: 0.53) 
T: 14.99s | SP: 30.00 | SPD R: 30.52 | DUTY R: 69 | [P]-1.04 [I]22.52 [D]0.00 (Err: -0.52) 
T: 15.19s | SP: 30.00 | SPD L: 29.47 | DUTY L: 74 | [P]1.06 [I]33.16 [D]0.00 (Err: 0.53) 
T: 15.19s | SP: 30.00 | SPD R: 30.52 | DUTY R: 69 | [P]-1.04 [I]22.41 [D]0.00 (Err: -0.52) 
T: 15.39s | SP: 30.00 | SPD L: 29.47 | DUTY L: 74 | [P]1.06 [I]33.27 [D]0.00 (Err: 0.53) 
T: 15.39s | SP: 30.00 | SPD R: 30.52 | DUTY R: 69 | [P]-1.04 [I]22.31 [D]0.00 (Err: -0.52) 
T: 15.59s | SP: 30.00 | SPD L: 29.47 | DUTY L: 74 | [P]1.06 [I]33.37 [D]0.00 (Err: 0.53) 
T: 15.59s | SP: 30.00 | SPD R: 29.47 | DUTY R: 70 | [P]1.06 [I]22.41 [D]2.10 (Err: 0.53) 
T: 15.79s | SP: 30.00 | SPD L: 31.57 | DUTY L: 70 | [P]-3.15 [I]33.06 [D]-4.20 (Err: -1.57) 
T: 15.79s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]22.52 [D]0.00 (Err: 0.53) 
T: 15.99s | SP: 30.00 | SPD L: 31.57 | DUTY L: 72 | [P]-3.15 [I]32.74 [D]0.00 (Err: -1.57) 
T: 15.99s | SP: 30.00 | SPD R: 29.47 | DUTY R: 69 | [P]1.06 [I]22.63 [D]0.00 (Err: 0.53) 
T: 16.19s | SP: 30.00 | SPD L: 29.47 | DUTY L: 75 | [P]1.06 [I]32.85 [D]4.20 (Err: 0.53) 
T: 16.19s | SP: 30.00 | SPD R: 29.47 | DUTY R: 70 | [P]1.06 [I]22.73 [D]0.00 (Err: 0.53) 
> [Motor] PID Target Setpoint 0 
T: 16.39s | SP: 0.00 | SPD L: 29.47 | DUTY L: 0 | [P]-58.94 [I]0.00 [D]-59.93 (Err: -29.47) 
T: 16.39s | SP: 0.00 | SPD R: 29.47 | DUTY R: 0 | [P]-58.94 [I]0.00 [D]-59.93 (Err: -29.47) 
T: 16.59s | SP: 0.00 | SPD L: 28.42 | DUTY L: 0 | [P]-56.83 [I]0.00 [D]2.10 (Err: -28.42) 
T: 16.59s | SP: 0.00 | SPD R: 28.42 | DUTY R: 0 | [P]-56.83 [I]0.00 [D]2.10 (Err: -28.42) 
T: 16.79s | SP: 0.00 | SPD L: 21.05 | DUTY L: 0 | [P]-42.10 [I]0.00 [D]14.72 (Err: -21.05) 
T: 16.79s | SP: 0.00 | SPD R: 22.10 | DUTY R: 0 | [P]-44.20 [I]0.00 [D]12.61 (Err: -22.10) 
T: 16.99s | SP: 0.00 | SPD L: 21.05 | DUTY L: 0 | [P]-42.10 [I]0.00 [D]0.00 (Err: -21.05) 
T: 16.99s | SP: 0.00 | SPD R: 22.10 | DUTY R: 0 | [P]-44.20 [I]0.00 [D]0.00 (Err: -22.10) 
T: 17.20s | SP: 0.00 | SPD L: 14.73 | DUTY L: 0 | [P]-29.47 [I]0.00 [D]12.61 (Err: -14.73) 
T: 17.20s | SP: 0.00 | SPD R: 14.73 | DUTY R: 0 | [P]-29.47 [I]0.00 [D]14.71 (Err: -14.73) 
T: 17.40s | SP: 0.00 | SPD L: 7.37 | DUTY L: 0 | [P]-14.73 [I]0.00 [D]14.72 (Err: -7.37) 
T: 17.40s | SP: 0.00 | SPD R: 7.37 | DUTY R: 0 | [P]-14.73 [I]0.00 [D]14.72 (Err: -7.37) 
T: 17.60s | SP: 0.00 | SPD L: 1.05 | DUTY L: 64 | [P]-2.10 [I]0.00 [D]12.61 (Err: -1.05) 
T: 17.60s | SP: 0.00 | SPD R: 1.05 | DUTY R: 64 | [P]-2.10 [I]0.00 [D]12.61 (Err: -1.05) 
T: 17.80s | SP: 0.00 | SPD L: 0.00 | DUTY L: 61 | [P]0.00 [I]0.00 [D]2.10 (Err: 0.00) 
T: 17.80s | SP: 0.00 | SPD R: 0.00 | DUTY R: 61 | [P]0.00 [I]0.00 [D]2.10 (Err: 0.00) 
T: 18.00s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 18.00s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 18.20s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
